"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "CSS", "Markdown", "YAML", "HTML", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage-master\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\desktop\SchoolPeople_Manage-master\README.md", "Markdown", 0, 0, 0, 0, 0, 104, 0, 0, 0, 34, 138
"d:\desktop\SchoolPeople_Manage-master\README_EN.md", "Markdown", 0, 0, 0, 0, 0, 93, 0, 0, 0, 27, 120
"d:\desktop\SchoolPeople_Manage-master\auto-imports.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\desktop\SchoolPeople_Manage-master\components.d.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 3, 3, 53
"d:\desktop\SchoolPeople_Manage-master\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 1, 3, 22
"d:\desktop\SchoolPeople_Manage-master\package-lock.json", "JSON", 0, 1237, 0, 0, 0, 0, 0, 0, 0, 1, 1238
"d:\desktop\SchoolPeople_Manage-master\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"d:\desktop\SchoolPeople_Manage-master\public\table.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 40
"d:\desktop\SchoolPeople_Manage-master\src\App.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\desktop\SchoolPeople_Manage-master\src\api\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\desktop\SchoolPeople_Manage-master\src\assets\css\color-dark.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"d:\desktop\SchoolPeople_Manage-master\src\assets\css\icon.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\desktop\SchoolPeople_Manage-master\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 160, 0, 0, 0, 4, 37, 201
"d:\desktop\SchoolPeople_Manage-master\src\components\header.vue", "vue", 0, 0, 0, 146, 0, 0, 0, 0, 4, 5, 155
"d:\desktop\SchoolPeople_Manage-master\src\components\sidebar.vue", "vue", 0, 0, 0, 159, 0, 0, 0, 0, 0, 6, 165
"d:\desktop\SchoolPeople_Manage-master\src\components\tags.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 0, 0, 15, 169
"d:\desktop\SchoolPeople_Manage-master\src\main.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 4, 34
"d:\desktop\SchoolPeople_Manage-master\src\router\index.ts", "TypeScript", 142, 0, 0, 0, 0, 0, 0, 0, 1, 4, 147
"d:\desktop\SchoolPeople_Manage-master\src\store\permiss.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\desktop\SchoolPeople_Manage-master\src\store\sidebar.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\desktop\SchoolPeople_Manage-master\src\store\tags.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"d:\desktop\SchoolPeople_Manage-master\src\utils\request.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\desktop\SchoolPeople_Manage-master\src\views\403.vue", "vue", 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"d:\desktop\SchoolPeople_Manage-master\src\views\404.vue", "vue", 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"d:\desktop\SchoolPeople_Manage-master\src\views\charts.vue", "vue", 0, 0, 0, 124, 0, 0, 0, 0, 0, 4, 128
"d:\desktop\SchoolPeople_Manage-master\src\views\dashboard.vue", "vue", 0, 0, 0, 274, 0, 0, 0, 0, 0, 25, 299
"d:\desktop\SchoolPeople_Manage-master\src\views\donate.vue", "vue", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\desktop\SchoolPeople_Manage-master\src\views\editor.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"d:\desktop\SchoolPeople_Manage-master\src\views\form.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 0, 0, 3, 157
"d:\desktop\SchoolPeople_Manage-master\src\views\home.vue", "vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"d:\desktop\SchoolPeople_Manage-master\src\views\icon.vue", "vue", 0, 0, 0, 209, 0, 0, 0, 0, 0, 4, 213
"d:\desktop\SchoolPeople_Manage-master\src\views\login.vue", "vue", 0, 0, 0, 123, 0, 0, 0, 0, 0, 7, 130
"d:\desktop\SchoolPeople_Manage-master\src\views\markdown.vue", "vue", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"d:\desktop\SchoolPeople_Manage-master\src\views\permission.vue", "vue", 0, 0, 0, 127, 0, 0, 0, 0, 0, 11, 138
"d:\desktop\SchoolPeople_Manage-master\src\views\table.vue", "vue", 0, 0, 0, 179, 0, 0, 0, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage-master\src\views\tabs.vue", "vue", 0, 0, 0, 112, 0, 0, 0, 0, 0, 5, 117
"d:\desktop\SchoolPeople_Manage-master\src\views\upload.vue", "vue", 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 77
"d:\desktop\SchoolPeople_Manage-master\src\views\user.vue", "vue", 0, 0, 0, 164, 0, 0, 0, 0, 0, 11, 175
"d:\desktop\SchoolPeople_Manage-master\src\vite-env.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"d:\desktop\SchoolPeople_Manage-master\tsconfig.json", "JSON with Comments", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\desktop\SchoolPeople_Manage-master\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\desktop\SchoolPeople_Manage-master\vite.config.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 369, 1323, 18, 2196, 192, 197, 10, 18, 19, 273, 4615