"filename", "language", "TypeScript", "Markdown", "JSON", "vue", "JavaScript", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage\components.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 6
"d:\desktop\SchoolPeople_Manage\package-lock.json", "JSON", 0, 0, 1925, 0, 0, 0, 0, 1925
"d:\desktop\SchoolPeople_Manage\package.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"d:\desktop\SchoolPeople_Manage\public\type_distribute.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 31
"d:\desktop\SchoolPeople_Manage\src\api\SysUser.js", "JavaScript", 0, 0, 0, 0, -150, -10, -11, -171
"d:\desktop\SchoolPeople_Manage\src\api\index.ts", "TypeScript", 24, 0, 0, 0, 0, 2, 3, 29
"d:\desktop\SchoolPeople_Manage\src\calc\average.ts", "TypeScript", 3, 0, 0, 0, 0, 9, 1, 13
"d:\desktop\SchoolPeople_Manage\src\calc\frequency.ts", "TypeScript", 3, 0, 0, 0, 0, 9, 1, 13
"d:\desktop\SchoolPeople_Manage\src\calc\type.ts", "TypeScript", 3, 0, 0, 0, 0, 10, 3, 16
"d:\desktop\SchoolPeople_Manage\src\components\tags.vue", "vue", 0, 0, 0, 3, 0, 0, -1, 2
"d:\desktop\SchoolPeople_Manage\src\server\index.js", "JavaScript", 0, 0, 0, 0, 74, 0, 4, 78
"d:\desktop\SchoolPeople_Manage\src\utils\http.js", "JavaScript", 0, 0, 0, 0, 60, 51, 13, 124
"d:\desktop\SchoolPeople_Manage\src\utils\pageR.js", "JavaScript", 0, 0, 0, 0, 34, 11, 7, 52
"d:\desktop\SchoolPeople_Manage\src\utils\request.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 2, 4
"d:\desktop\SchoolPeople_Manage\src\views\charts.vue", "vue", 0, 0, 0, 10, 0, 0, 1, 11
"d:\desktop\SchoolPeople_Manage\src\views\config\MobileCol.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 49
"d:\desktop\SchoolPeople_Manage\src\views\config\StaffCol.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 49
"d:\desktop\SchoolPeople_Manage\src\views\config\StudentCol.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 49
"d:\desktop\SchoolPeople_Manage\src\views\config\TeacherCol.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 71
"d:\desktop\SchoolPeople_Manage\src\views\editor.vue", "vue", 0, 0, 0, -34, 0, 0, -4, -38
"d:\desktop\SchoolPeople_Manage\src\views\form.vue", "vue", 0, 0, 0, -38, 0, 0, 2, -36
"d:\desktop\SchoolPeople_Manage\src\views\icon.vue", "vue", 0, 0, 0, -209, 0, 0, -4, -213
"d:\desktop\SchoolPeople_Manage\src\views\info.vue", "vue", 0, 0, 0, 1, 0, 0, 1, 2
"d:\desktop\SchoolPeople_Manage\src\views\management\teacher.vue", "vue", 0, 0, 0, -11, 0, 0, 0, -11
"d:\desktop\SchoolPeople_Manage\src\views\permission.vue", "vue", 0, 0, 0, 10, 0, 0, 0, 10
"d:\desktop\SchoolPeople_Manage\src\views\tabs.vue", "vue", 0, 0, 0, 16, 0, 0, 0, 16
"d:\desktop\SchoolPeople_Manage\文字资料\数据库定义.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"d:\desktop\SchoolPeople_Manage\文字资料\状态对照表.md", "Markdown", 0, 32, 0, 0, 0, 0, 3, 35
"Total", "-", 257, 33, 1957, -252, 18, 84, 21, 2118